Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Luka Dončić,PG,24,DAL,70,70,37.5,11.5,23.6,0.487,4.1,10.6,0.382,7.4,13,0.573,0.573,6.8,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4,2.1,33.9
2,Giannis Antetokounmpo,PF,29,MIL,73,73,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11,17.1,0.645,0.624,7,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4
3,Shai Gilgeous-Alexander,PG,25,OKC,73,73,34.4,10.7,19.9,0.539,1.3,3.5,0.368,9.4,16.4,0.576,0.571,7.6,8.7,0.871,0.9,4.7,5.6,6.2,2.1,0.9,2.2,2.5,30.4
4,Jalen Brunson,PG,27,NYK,74,74,35.4,10.1,21.2,0.478,2.7,6.8,0.399,7.4,14.4,0.516,0.542,5.4,6.4,0.846,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.4
5,Kevin Durant,PF,35,PHO,73,73,37.1,10.1,19.2,0.524,2.2,5.4,0.413,7.8,13.8,0.567,0.582,4.9,5.7,0.854,0.5,6.1,6.7,5.1,0.9,1.2,3.2,1.8,27.2
6,Devin Booker,PG,27,PHO,66,66,35.9,9.5,19.3,0.493,2.2,6.2,0.362,7.3,13.2,0.553,0.55,5.9,6.7,0.887,0.8,3.7,4.5,7,0.9,0.4,2.6,3,27.2
7,Jayson Tatum,PF,25,BOS,73,73,35.8,9.1,19.4,0.472,3.1,8.2,0.379,6,11.1,0.541,0.553,5.6,6.7,0.834,0.9,7.3,8.2,4.9,1,0.6,2.5,1.9,27
8,Nikola Jokić,C,28,DEN,77,77,34.6,10.5,18,0.581,1.1,3,0.358,9.4,15,0.625,0.611,4.6,5.6,0.818,2.8,9.6,12.4,9,1.3,0.9,3,2.4,26.6
9,De'Aaron Fox,PG,26,SAC,71,71,35.9,9.7,21,0.462,2.9,7.9,0.367,6.8,13.1,0.519,0.531,4.2,5.8,0.733,0.9,3.7,4.6,5.6,2,0.4,2.6,2.6,26.6
10,Stephen Curry,PG,35,GSW,72,72,32.7,8.8,19.4,0.45,4.8,11.8,0.407,4,7.7,0.515,0.573,4.1,4.5,0.922,0.5,3.9,4.4,5.1,0.7,0.4,2.8,1.6,26.4
11,Anthony Edwards,SG,22,MIN,77,76,35.2,9.2,20,0.462,2.5,6.8,0.362,6.8,13.2,0.514,0.524,5.3,6.4,0.833,0.7,4.8,5.5,5.2,1.3,0.5,3,1.7,26.3
12,Tyrese Maxey,PG,23,PHI,68,68,37.6,9.1,20.3,0.448,3,8.1,0.37,6.1,12.2,0.5,0.522,4.7,5.4,0.87,0.5,3.2,3.7,6.3,1,0.5,1.7,2.1,25.9
13,Kyrie Irving,SG,31,DAL,58,58,35,9.7,19.5,0.497,3,7.3,0.411,6.7,12.2,0.548,0.573,3.3,3.6,0.905,0.8,4.2,5,5.2,1.3,0.5,1.8,1.9,25.6
14,LeBron James,PF,39,LAL,69,69,35.1,9.6,17.8,0.538,2.1,5.1,0.412,7.5,12.7,0.589,0.597,4.2,5.6,0.747,0.8,6.4,7.2,8.2,1.2,0.5,3.4,1.1,25.5
15,Anthony Davis,C,30,LAL,74,74,35.5,9.3,16.8,0.554,0.4,1.4,0.28,8.9,15.5,0.578,0.565,5.5,6.7,0.816,3.1,9.5,12.6,3.5,1.2,2.4,2.1,2.3,24.5
16,Damian Lillard,PG,33,MIL,72,72,35.4,7.5,17.5,0.427,3.1,8.6,0.356,4.4,9,0.495,0.514,6.4,7,0.92,0.5,3.9,4.4,7,1,0.3,2.7,1.9,24.4
17,DeMar DeRozan,SF,34,CHI,77,77,37.8,8.1,17,0.477,0.9,2.8,0.321,7.2,14.2,0.508,0.504,6.6,7.7,0.854,0.5,3.8,4.3,5.3,1.1,0.6,1.7,2.1,23.7
18,Kawhi Leonard,SF,32,LAC,68,68,34.3,9,17.1,0.525,2.1,4.9,0.417,6.9,12.1,0.569,0.585,3.7,4.2,0.885,1.2,4.9,6.1,3.6,1.6,0.9,1.8,1.4,23.7
19,Jaylen Brown,SF,27,BOS,69,69,33.5,9,18,0.5,2.1,5.9,0.356,6.9,12.1,0.571,0.558,3,4.3,0.704,1.2,4.4,5.6,3.6,1.2,0.5,2.4,2.6,23.1
20,Zion Williamson,PF,23,NOP,67,67,31.4,8.9,15.4,0.576,0.1,0.2,0.357,8.8,15.2,0.579,0.579,5,7.1,0.701,1.8,4.1,5.8,5,1,0.7,2.7,2.3,22.9
21,Paul George,PF,33,LAC,73,73,34.2,7.9,16.9,0.47,3.3,8,0.412,4.6,8.8,0.523,0.568,3.6,4,0.907,0.5,4.8,5.3,3.6,1.5,0.5,2.1,2.8,22.8
22,Cade Cunningham,PG,22,DET,62,62,33.5,8.5,18.8,0.449,1.9,5.4,0.355,6.5,13.4,0.487,0.5,3.8,4.4,0.869,0.5,3.8,4.3,7.5,0.9,0.4,3.4,2.5,22.7
23,Paolo Banchero,PF,21,ORL,78,78,34.9,8,17.5,0.458,1.5,4.3,0.339,6.5,13.1,0.498,0.5,5,6.9,0.723,1,5.8,6.8,5.3,0.9,0.6,3.1,1.9,22.5
24,Jaren Jackson Jr.,C,24,MEM,66,66,32.2,7.8,17.6,0.444,1.8,5.5,0.32,6,12.1,0.501,0.494,5.1,6.3,0.808,1.3,4.2,5.5,2.3,1.2,1.6,2.4,3.6,22.5
25,Dejounte Murray,SG,27,ATL,76,76,35.8,8.6,18.8,0.457,2.6,7.2,0.361,6,11.6,0.516,0.526,2.7,3.4,0.8,0.8,4.6,5.4,6.5,1.4,0.3,2.6,1.8,22.5
26,Kyle Kuzma,PF,28,WAS,70,70,32.6,8.7,18.8,0.463,2.2,6.4,0.336,6.5,12.3,0.53,0.521,2.7,3.4,0.775,0.9,5.7,6.6,4.2,0.5,0.7,2.7,2.2,22.2
27,Cam Thomas,SG,22,BRK,64,49,31.4,7.9,18,0.439,2.1,5.9,0.361,5.8,12.1,0.478,0.499,4.3,5,0.854,0.4,2.8,3.3,2.9,0.7,0.3,1.9,2.1,22.2
28,Karl-Anthony Towns,PF,28,MIN,60,60,32.8,7.9,15.5,0.506,2.2,5.3,0.423,5.6,10.3,0.55,0.578,4.2,4.8,0.874,1.5,6.9,8.4,3,0.7,0.7,2.8,3.3,22.1
29,Pascal Siakam,PF,29,TOT,78,78,33.3,8.5,15.9,0.534,1.1,3.1,0.34,7.4,12.8,0.581,0.567,3.7,5,0.733,1.7,5.3,7.1,4.4,0.8,0.3,1.8,2.4,21.7
30,Miles Bridges,SF,25,CHO,68,66,37.7,8.2,17.7,0.462,2.3,6.6,0.35,5.9,11.1,0.528,0.527,2.6,3.1,0.825,1,6.3,7.4,3.4,1,0.5,2,1.7,21.3
31,Victor Wembanyama,C,20,SAS,70,70,29.6,7.7,16.6,0.465,1.8,5.5,0.322,5.9,11.1,0.535,0.518,4.1,5.1,0.797,2.3,8.3,10.6,3.8,1.2,3.6,3.6,2.2,21.3
32,Alperen Sengun,C,21,HOU,63,63,32.5,8.4,15.6,0.537,0.5,1.8,0.297,7.8,13.8,0.567,0.553,3.9,5.6,0.693,2.9,6.4,9.3,5,1.2,0.7,2.6,3.3,21.1
33,Jimmy Butler,PF,34,MIA,58,58,34.3,6.6,13.4,0.495,1,2.5,0.406,5.6,10.9,0.516,0.533,6.7,7.8,0.863,1.7,3.6,5.3,4.9,1.4,0.3,1.7,1.2,21
34,Brandon Ingram,SF,26,NOP,63,63,33,7.8,16,0.49,1.3,3.8,0.356,6.5,12.2,0.532,0.532,3.9,4.9,0.801,0.7,4.4,5.1,5.8,0.8,0.6,2.6,2.3,20.9
35,Jamal Murray,PG,26,DEN,57,57,31.7,7.9,16.6,0.479,2.4,5.7,0.424,5.5,10.9,0.507,0.551,2.6,3.1,0.848,0.7,3.4,4.1,6.6,1,0.7,2.1,1.8,20.9
36,Tyrese Haliburton,PG,23,IND,67,66,32.3,7.3,15.3,0.476,2.9,7.8,0.367,4.4,7.5,0.589,0.569,2.9,3.3,0.857,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,20.3
37,Kristaps Porziņģis,C,28,BOS,56,56,29.7,6.8,13.2,0.518,1.9,5.1,0.375,4.9,8.1,0.608,0.591,4.6,5.4,0.857,1.7,5.5,7.2,2,0.8,1.9,1.6,2.8,20.2
38,RJ Barrett,SG,23,TOT,57,57,31.7,7.4,15.1,0.491,1.6,4.3,0.362,5.9,10.8,0.542,0.542,3.5,4.9,0.712,0.9,4.4,5.3,3.3,0.5,0.4,2.2,2.2,19.9
39,Mikal Bridges,SF,27,BRK,80,80,35.1,7,16,0.437,2.7,7.3,0.373,4.3,8.7,0.491,0.522,3.2,4,0.814,0.9,3.8,4.6,3.7,1,0.4,2.1,1.4,19.9
40,Scottie Barnes,SG,22,TOR,60,60,34.9,7.5,15.7,0.475,1.7,4.9,0.341,5.8,10.8,0.536,0.528,3.3,4.2,0.781,2.4,5.9,8.2,6.1,1.3,1.5,2.8,2,19.9
41,Jalen Green,SG,21,HOU,79,79,32,6.9,16.3,0.424,2.4,7.3,0.331,4.5,9,0.499,0.498,3.6,4.4,0.803,0.5,4.6,5.2,3.6,0.8,0.4,2.3,1.4,19.8
42,Terry Rozier,PG-SG,29,TOT,61,60,33.4,7.2,16.4,0.443,2.4,6.7,0.363,4.8,9.6,0.498,0.518,2.8,3.2,0.869,0.6,3.5,4,5.6,1,0.3,1.7,1.7,19.8
43,CJ McCollum,PG,32,NOP,63,63,32.5,7.2,15.8,0.455,3.5,8.3,0.417,3.7,7.5,0.498,0.565,1.8,2.1,0.83,0.6,3.8,4.3,4.5,1,0.6,1.7,1.9,19.7
44,Franz Wagner,SF,22,ORL,70,70,32.4,7.3,15.1,0.482,1.3,4.6,0.283,6,10.5,0.57,0.525,3.7,4.4,0.845,1,4.3,5.3,3.8,1,0.4,1.9,2.3,19.6
45,Devin Vassell,SG,23,SAS,68,62,33.1,7.3,15.5,0.472,2.4,6.6,0.372,4.9,9,0.544,0.55,2.4,3,0.801,0.4,3.4,3.8,4.1,1.1,0.3,1.6,1.1,19.5
46,Domantas Sabonis,C,27,SAC,79,79,35.7,7.7,13,0.593,0.4,1,0.378,7.3,12,0.612,0.608,3.6,5.1,0.701,3.6,10.1,13.8,8.2,0.9,0.6,3.3,3.1,19.4
47,Jalen Williams,PF,22,OKC,69,69,31.6,7.6,14.1,0.538,1.5,3.4,0.428,6.1,10.7,0.574,0.59,2.6,3.2,0.813,0.5,3.5,4.1,4.6,1.1,0.6,1.8,2.5,19.3
48,Bam Adebayo,C,26,MIA,69,69,34.4,7.4,14.4,0.516,0.2,0.6,0.359,7.2,13.9,0.522,0.523,4.2,5.5,0.757,2.2,8.3,10.5,4,1.1,0.9,2.3,2.3,19.3
